question_id,chunk_size,rank,paper_id,dataset,chunk_id,page_start,page_end,word_count,bm25_score,is_relevant_paper,is_relevant_page,text
Q01,200,1,p5_rag_eval,p5_rag_eval_200,0,1,1,200,11.393711,False,False,"Evaluation of Retrieval-Augmented Generation: A Survey Hao Yu1,2, Aoran Gan3, Kai Zhang3, Shiwei Tong1†, Qi Liu3, and Zhaofeng Liu1 1 Tencent Company 2 McGill University 3 State Key Laboratory of Cognitive Intelligence, University of Science and Technology of China hao.yu2@mail.mcgill.ca gar@mail.ustc.edu.cn {shiweitong†,zhaofengliu}@tencent.com {kkzhang08,qiliuql}@ustc.edu.cn Abstract. Retrieval-Augmented Generation (RAG) has recently gained traction in natural language processing. Numerous studies and real-world applications are leveraging its ability to enhance generative models through external informa- tion retrieval. Evaluating these RAG systems, however, poses unique challenges due to their hybrid structure and reliance on dynamic knowledge sources. To better understand these challenges, we conduct A Unified Evaluation Process of RAG (Auepora) and aim to provide a comprehensive overview of the evaluation and benchmarks of RAG systems. Specifically, we examine and compare several quantifiable metrics of the Retrieval and Generation components, such as rele- vance, accuracy, and faithfulness, within the current RAG benchmarks, encom- passing the possible output and ground truth pairs. We then analyze the various datasets and metrics, discuss the limitations of current benchmarks, and suggest potential directions to advance the field of RAG benchmarks. Introduction Retrieval-Augmented Generation (RAG) [34] efficiently enhances the performance of generative language models through integrating information retrieval techniques. It"
Q01,200,2,p4_never_lost,p4_never_lost_200,1,1,1,200,10.870100,False,False,"generative and zero-shot learning abilities across diverse natural language process- ing (NLP) fields, have found extensive downstream applications (OpenAI, 2023; Boiko et al., 2023; Cheng et al., 2023; Waisberg et al., 2023; Hu et al., 2023). However, LLMs suffer from severe hallu- cinations, significantly compromising their perfor- mance in knowledge-oriented QA, dialogue, and writing (Roberts et al., 2020; Agrawal et al., 2023). Retrieval Augmented Generation (RAG) is an ef- fective solution to hallucinations, and remarkable improvements have been achieved by incorporat- ing supporting knowledge into the input of LLMs (Lewis et al., 2020b; Shuster et al., 2021; Thop- pilan et al., 2022; Shi et al., 2023a). The most 1It is publicly available at https://huggingface.co/ IDEA-CCNL/Ziya-Reader-13B-v1.0 and https://github. com/hejunqing/never-lost-in-the-middle fundamental challenge to address in RAG is long context and Multi-document question answering (Multi-doc QA). Some research works around the problem with a complicated pipeline or system (Chen et al., 2023a; Lee et al., 2024), but we aim to improve foundation models as they are a core component of those meth- ods. Thorough research has been conducted to deal with long context inputs, categorized into three mainstreams: The first is to expand the context window using a sliding window (Dai et al.,"
Q01,200,3,p7_realm,p7_realm_200,6,2,3,200,9.139181,False,False,"need a downstream task where world knowledge is criti- cal. Perhaps one of the most knowledge-intensive tasks in natural language processing is open-domain question an- swering (Open-QA): given a question x such as “What is the currency of the UK?”, a model must output the correct answer string y, “pound”. The “open” part of Open- QA refers to the fact that the model does not receive a pre- identiﬁed document that is known to contain the answer, unlike traditional reading comprehension (RC) tasks such as SQuAD (Rajpurkar et al., 2016; 2018). While RC mod- 1We use the term “document” loosely to refer to a passage from the knowledge corpus, not necessarily a whole article. 2Strictly speaking, MLM is not a standard language model, since it does not deﬁne a distribution over the entire sequence of tokens. In the paper we sometimes abuse the term “language model” slightly to make the phrase shorter. REALM: Retrieval-Augmented Language Model Pre-Training els comprehend a single document, Open-QA models must retain knowledge from millions of documents, since a ques- tion could be about any of them. We focus on Open-QA systems that utilize a textual knowl- edge corpus Z as the knowledge source. Many of"
Q01,200,4,p6_rag_survey,p6_rag_survey_200,59,15,15,200,9.131973,True,False,"and clinically accurate medical reports from images. QA-RAG [332] em- ploys a dual-track RAG strategy to enhance pharmaceutical compliance by effectively retrieving and integrating regu- latory guidelines based on language model responses and user queries. RAG-RLRC-LaySum [333] leverages biomedical text knowledge for llms, employing reinforcement learning and re-ranking techniques to enhance content relevance and readability of the output. 3) Math Applications: Retrieval-augmented generation technology in mathematics streamlines problem-solving, boosts research innovation, and refines educational strategies. LeanDojo [334] boosts theorem proving by using retrieval- augmented methods to choose relevant premises from exten- sive mathematical libraries, improving automation and theo- rem generalization. RAG-for-math-QA [335] improves math question-answering by integrating a high-quality math text- book with RAG, enhancing LLM-generated responses for middle-school algebra and geometry. V. BENCHMARK Given the increasing research interests and applications of RAG, there have also been several benchmarks assessing RAG from certain aspects. Chen et al. [336] proposed an RAG benchmark that eval- uates across four dimensions: (1) Noise Robustness, testing if LLMs can extract necessary information from noisy docu- ments; (2) Negative Rejection, assessing if LLMs can reject to respond when retrieved content is insufficient; (3) Infor- mation Integration,checking if LLMs can acquire knowledge and respond by integrating"
Q01,200,5,p1_rag,p1_rag_200,8,3,4,200,9.009515,True,False,"(xj, yj), we minimize the negative marginal log-likelihood of each target, P j −log p(yj|xj) using stochastic gradient descent with Adam [28]. Updating the document encoder BERTd during training is costly as it requires the document index to be periodically updated as REALM does during pre-training [20]. We do not ﬁnd this step necessary for strong performance, and keep the document encoder (and index) ﬁxed, only ﬁne-tuning the query encoder BERTq and the BART generator. 2.5 Decoding At test time, RAG-Sequence and RAG-Token require different ways to approximate arg maxy p(y|x). RAG-Token The RAG-Token model can be seen as a standard, autoregressive seq2seq genera- tor with transition probability: p′ θ(yi|x, y1:i−1) = P z∈top-k(p(·|x)) pη(zi|x)pθ(yi|x, zi, y1:i−1) To decode, we can plug p′ θ(yi|x, y1:i−1) into a standard beam decoder. RAG-Sequence For RAG-Sequence, the likelihood p(y|x) does not break into a conventional per- token likelihood, hence we cannot solve it with a single beam search. Instead, we run beam search for each document z, scoring each hypothesis using pθ(yi|x, z, y1:i−1). This yields a set of hypotheses Y , some of which may not have appeared in the beams of all documents. To estimate the probability of an hypothesis y"
Q02,200,1,p1_rag,p1_rag_200,26,9,9,200,13.369673,True,False,"[18, 22] and Semantic Parsing [21]. Our approach does have several differences, including less of emphasis on lightly editing a retrieved item, but on aggregating content from several pieces of retrieved content, as well as learning latent retrieval, and retrieving evidence documents rather than related training pairs. This said, RAG techniques may work well in these settings, and could represent promising future work. 6 Discussion In this work, we presented hybrid generation models with access to parametric and non-parametric memory. We showed that our RAG models obtain state of the art results on open-domain QA. We found that people prefer RAG’s generation over purely parametric BART, ﬁnding RAG more factual and speciﬁc. We conducted an thorough investigation of the learned retrieval component, validating its effectiveness, and we illustrated how the retrieval index can be hot-swapped to update the model without requiring any retraining. In future work, it may be fruitful to investigate if the two components can be jointly pre-trained from scratch, either with a denoising objective similar to BART or some another objective. Our work opens up new research directions on how parametric and non-parametric memories interact and how to most effectively combine them, showing promise in being applied"
Q02,200,2,p1_rag,p1_rag_200,1,1,1,200,9.206545,True,False,"another which can use different passages per token. We ﬁne-tune and evaluate our models on a wide range of knowledge- intensive NLP tasks and set the state of the art on three open domain QA tasks, outperforming parametric seq2seq models and task-speciﬁc retrieve-and-extract architectures. For language generation tasks, we ﬁnd that RAG models generate more speciﬁc, diverse and factual language than a state-of-the-art parametric-only seq2seq baseline. Introduction Pre-trained neural language models have been shown to learn a substantial amount of in-depth knowl- edge from data [47]. They can do so without any access to an external memory, as a parameterized implicit knowledge base [51, 52]. While this development is exciting, such models do have down- sides: They cannot easily expand or revise their memory, can’t straightforwardly provide insight into their predictions, and may produce “hallucinations” [38]. Hybrid models that combine parametric memory with non-parametric (i.e., retrieval-based) memories [20, 26, 48] can address some of these issues because knowledge can be directly revised and expanded, and accessed knowledge can be inspected and interpreted. REALM [20] and ORQA [31], two recently introduced models that combine masked language models [8] with a differentiable retriever, have shown promising results, arXiv:2005.11401v4 [cs.CL] 12 Apr 2021"
Q02,200,3,p6_rag_survey,p6_rag_survey_200,13,4,5,200,9.140436,True,False,"and then outline enhancement methods that further improve the effectiveness. A. RAG Foundations Based on how the retriever augments the generator, we 1) Query-based RAG: Stemming from the idea of prompt augmentation, query-based RAG seamlessly integrates the user’s query with insights from retrieved information, feeding it directly into the initial stage of the generator’s input. This method is prevalent in RAG applications. Post-retrieval, the obtained content is merged with the user’s original query to form a composite input, which is then processed by the generator to create a response. Query-based RAG is widely employed across various modalities. For text generation, REALM [33] employs a dual-BERT framework to streamline knowledge retrieval and integra- tion, marrying pre-trained models with knowledge extractors. Lewis et al. [34] leveraged DPR for information retrieval and employs BART as the generator to effectively enhance the generation. SELF-RAG [85] utilizes a critique module to determine whether the retrieval is required. In addition to being compatible with local generators, query-based RAG is also applicable to scenarios that use LLM through API calls. RE- PLUG [86] follows this methodology by treating the language Fig. 3: Taxonomy of RAG foundations. model as a “black box”, and effectively integrates relevant external documents"
Q02,200,4,p1_rag,p1_rag_200,0,1,1,200,8.937907,True,False,"Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks Patrick Lewis†‡, Ethan Perez⋆, Aleksandra Piktus†, Fabio Petroni†, Vladimir Karpukhin†, Naman Goyal†, Heinrich Küttler†, Mike Lewis†, Wen-tau Yih†, Tim Rocktäschel†‡, Sebastian Riedel†‡, Douwe Kiela† †Facebook AI Research; ‡University College London; ⋆New York University; plewis@fb.com Abstract Large pre-trained language models have been shown to store factual knowledge in their parameters, and achieve state-of-the-art results when ﬁne-tuned on down- stream NLP tasks. However, their ability to access and precisely manipulate knowl- edge is still limited, and hence on knowledge-intensive tasks, their performance lags behind task-speciﬁc architectures. Additionally, providing provenance for their decisions and updating their world knowledge remain open research problems. Pre- trained models with a differentiable access mechanism to explicit non-parametric memory have so far been only investigated for extractive downstream tasks. We explore a general-purpose ﬁne-tuning recipe for retrieval-augmented generation (RAG) — models which combine pre-trained parametric and non-parametric mem- ory for language generation. We introduce RAG models where the parametric memory is a pre-trained seq2seq model and the non-parametric memory is a dense vector index of Wikipedia, accessed with a pre-trained neural retriever. We com- pare two RAG formulations, one which conditions on the same retrieved passages across the whole generated sequence, and"
Q02,200,5,p1_rag,p1_rag_200,16,6,6,200,8.331459,True,False,"answers from our models. Qualitatively, we ﬁnd that RAG models hallucinate less and generate factually correct text more often than BART. Later, we also show that RAG generations are more diverse than BART generations (see §4.5). 4.3 Jeopardy Question Generation Table 2 shows that RAG-Token performs better than RAG-Sequence on Jeopardy question generation, with both models outperforming BART on Q-BLEU-1. 4 shows human evaluation results, over 452 pairs of generations from BART and RAG-Token. Evaluators indicated that BART was more factual than RAG in only 7.1% of cases, while RAG was more factual in 42.7% of cases, and both RAG and BART were factual in a further 17% of cases, clearly demonstrating the effectiveness of RAG on the task over a state-of-the-art generation model. Evaluators also ﬁnd RAG generations to be more speciﬁc by a large margin. Table 3 shows typical generations from each model. Jeopardy questions often contain two separate pieces of information, and RAG-Token may perform best because it can generate responses that combine content from several documents. Figure 2 shows an example. When generating “Sun”, the posterior is high for document 2 which mentions “The Sun Also Rises”. Similarly, document 1 dominates the posterior when “A Farewell"
